iter	Logloss
0	0.6636403411
1	0.6378892868
2	0.61403752
3	0.593367527
4	0.5748855878
5	0.5584795939
6	0.543621736
7	0.5302400492
8	0.5188411295
9	0.5084945535
10	0.4991749141
11	0.4912613683
12	0.4832969621
13	0.476645168
14	0.47082807
15	0.4657443437
16	0.4608503519
17	0.4563470472
18	0.452314285
19	0.4488444438
20	0.4459918443
21	0.4431950584
22	0.4406875012
23	0.438363945
24	0.4365241993
25	0.4345477977
26	0.432935242
27	0.4312385084
28	0.4297725132
29	0.4284208138
30	0.4273174943
31	0.426322199
32	0.4253996667
33	0.4244814543
34	0.4236780261
35	0.422806178
36	0.4221428176
37	0.4214308936
38	0.4208953061
39	0.420398679
40	0.4199772079
41	0.41937069
42	0.4189548543
43	0.4185279676
44	0.4182314229
45	0.417887968
46	0.4177151953
47	0.4174050402
48	0.41716377
49	0.4169355118
50	0.4167437157
51	0.4165925752
52	0.4163260146
53	0.4160674091
54	0.4158660028
55	0.4157318855
56	0.4155492404
57	0.4154208969
58	0.4153076288
59	0.4151306516
60	0.415092506
61	0.4149762659
62	0.414857204
63	0.414705518
64	0.4145499349
65	0.4144529249
66	0.4143767891
67	0.4142880402
68	0.4142030328
69	0.4141826039
70	0.4140901964
71	0.4139625674
72	0.4139535738
73	0.4139044408
74	0.4137985541
75	0.4137299632
76	0.4136790319
77	0.4136079252
78	0.4135539897
79	0.4134700713
80	0.4133993371
81	0.413359633
82	0.4132837223
83	0.4132353816
84	0.4132044507
85	0.4132001662
86	0.4131585612
87	0.4131333267
88	0.4131023502
89	0.4130443251
90	0.4130000086
91	0.412950584
92	0.41291775
93	0.4128699687
94	0.4128088537
95	0.4128069048
96	0.4127576196
97	0.4127189655
98	0.4126628115
99	0.4126293434
100	0.4125717425
101	0.4125322333
102	0.4124747311
103	0.412449392
104	0.4124353938
105	0.4123869848
106	0.4123673089
107	0.4123501879
108	0.4123354035
109	0.4122999749
110	0.412258659
111	0.4122573381
112	0.4122188846
113	0.4122001438
114	0.412166795
115	0.412136433
116	0.4121075282
117	0.4120835698
118	0.4120533503
119	0.4120118138
120	0.4119837586
121	0.41193538
122	0.4119220683
123	0.4118956353
124	0.4118664774
125	0.4118578808
126	0.4118087241
127	0.4117750064
128	0.4117526699
129	0.411726592
130	0.4117079666
131	0.4116802067
132	0.4116578152
133	0.4116555361
134	0.4116508141
135	0.4116507176
136	0.4116178662
137	0.4115959978
138	0.4115555484
139	0.4115400981
140	0.4115139522
141	0.4114733159
142	0.4114092315
143	0.4113720693
144	0.4113417562
145	0.4113031562
146	0.4113013649
147	0.4112743351
148	0.4112375793
149	0.4112166727
150	0.4112021675
151	0.411170967
152	0.4111364678
153	0.4111237694
154	0.4110969942
155	0.4110619954
156	0.4110481165
157	0.4110326276
158	0.4109968868
159	0.410957871
160	0.4109284308
161	0.4108818065
162	0.4108782165
163	0.4108114188
164	0.410777264
165	0.4107345617
166	0.4106937776
167	0.4106676401
168	0.4106408354
169	0.4106094596
170	0.4105602116
171	0.4105285082
172	0.4105027858
173	0.4104803213
174	0.4104573495
175	0.4104312568
176	0.4104138026
177	0.4103663013
178	0.4103465397
179	0.4103244942
180	0.4103131458
181	0.4102769412
182	0.4102652038
183	0.4102485361
184	0.4102237794
185	0.4101823259
186	0.4101543473
187	0.410126365
188	0.4100956513
189	0.4100840348
190	0.4100409898
191	0.4100174647
192	0.4099868104
193	0.4099595343
194	0.4099315516
195	0.409898042
196	0.4098791028
197	0.409855527
198	0.4098513775
199	0.4098194713
200	0.4097943771
201	0.4097813061
202	0.4097706528
203	0.409757543
204	0.4097183714
205	0.4096691576
206	0.4096343916
207	0.4095928567
208	0.4095722848
209	0.4095415356
210	0.4095072534
211	0.4094752911
212	0.4094354433
213	0.4094158981
214	0.4093670419
215	0.4093421592
216	0.4093144766
217	0.4092974752
218	0.4092684133
219	0.4092536016
220	0.4092180758
221	0.4092002312
222	0.4091818097
223	0.4091611112
224	0.4091413129
225	0.4090951316
226	0.4090539314
227	0.4090203345
228	0.4089736389
229	0.4089446956
230	0.4089117672
231	0.4088879654
232	0.408847736
233	0.4088066349
234	0.4087572979
235	0.4087358058
236	0.4086950956
237	0.4086756866
238	0.4086440378
239	0.4086096047
240	0.408581617
241	0.4085473308
242	0.4085079176
243	0.4084842034
244	0.4084446487
245	0.4084236186
246	0.4083819831
247	0.4083539957
248	0.4083338304
249	0.4082970896
250	0.4082565127
251	0.4082144929
252	0.4081558057
253	0.4081142341
254	0.4080840071
255	0.40805522
256	0.4080339397
257	0.4079878076
258	0.4079462322
259	0.4079203787
260	0.4078862233
261	0.4078585902
262	0.4078314408
263	0.4077963319
264	0.407773135
265	0.4077507166
266	0.4077185157
267	0.4076827095
268	0.4076499665
269	0.4076177774
270	0.4075828451
271	0.4075499844
272	0.4075186912
